Level 1:	1.0000000000	1.0000000000
Level 2:	0.7930000000	1.2610340479
Level 3:	0.6177960000	1.6186572914
Level 4:	0.4727291390	2.1153762641
Level 5:	0.3551969283	2.8153396622
Level 6:	0.2620035500	3.8167421780
Level 7:	0.1896772453	5.2721136805
Level 8:	0.1347347308	7.4219913006
Level 9:	0.0938822489	10.6516408764
Level 10:	0.0641515850	15.5880794002
Level 11:	0.0429762583	23.2686613406
Level 12:	0.0282176778	35.4387773170
Level 13:	0.0181533285	55.0863164076
Level 14:	0.0114393423	87.4176128035
Level 15:	0.0070586162	141.6708273548
Level 16:	0.0042635570	234.5459461868
Level 17:	0.0025200840	396.8121745544
Level 18:	0.0014571387	686.2764522431
Level 19:	0.0008239069	1213.7293732847
Level 20:	0.0004553977	2195.8827930209
Level 21:	0.0002459681	4065.5685594846
Level 22:	0.0001297707	7705.8968838814
Level 23:	0.0000668522	14958.3814583675
Level 24:	0.0000336140	29749.5405127777
Level 25:	0.0000164896	60644.3186756720
